WorkOrderID,AssetID,AssetType,Region,Latitude,Longitude,Status,Priority,RiskScore,CreatedDate,DueDate,DaysOverdue,AssignedCrewID,Commodity,CPZoneID,HCA_Flag,RiskScore_Rubric,Priority_Rubric
WO200001,A100255,Regulator,San Francisco,37.78219,-122.3893,Closed,Critical,10,2025-05-06,2025-06-02,0,C113,Electric,,,,
WO200002,A100294,Regulator,Peninsula,37.38276,-122.3349,Closed,Critical,10,2025-04-13,2025-05-21,0,C104,Electric,,,,
WO200003,A100077,Substation Equipment,North Bay,38.08368,-122.63362,In Progress,Critical,10,2025-07-24,2025-08-16,0,C106,Electric,,,,
WO200004,A100083,Feeder,East Bay,37.88927,-122.19482,Deferred,High,7,2025-04-28,2025-06-24,44,,Electric,,,,
WO200005,A100046,Transformer,Sierra,39.67814,-120.0688,Assigned,Critical,10,2025-07-03,2025-08-12,0,C119,Electric,,,,
WO200006,A100059,Transformer,Central Valley,37.77095,-120.97088,Open,High,6,2025-05-31,2025-07-11,27,,Electric,,,,
WO200007,A100193,Feeder,Central Valley,37.17849,-121.22836,Open,Critical,10,2025-05-29,2025-07-07,31,,Electric,,,,
WO200008,A100009,Feeder,North Bay,38.13246,-123.1635,Assigned,Critical,9,2025-04-18,2025-06-17,51,C111,Electric,,,,
WO200009,A100070,Gas Valve,East Bay,37.82665,-121.62068,Deferred,Critical,10,2025-06-06,2025-07-30,8,,Gas,,,,
WO200010,A100175,Pole,Sierra,39.5129,-120.67693,Open,Critical,10,2025-07-02,2025-08-21,0,,Electric,,,,
WO200011,A100239,Gas Valve,Peninsula,37.34468,-122.14171,Deferred,Medium,4,2025-05-24,2025-07-18,20,,Gas,,,,
WO200012,A100146,Transformer,Central Valley,37.28741,-120.63998,Assigned,High,6,2025-04-26,2025-06-11,57,C102,Electric,,,,
WO200013,A100050,Pole,North Bay,38.48249,-122.40426,Assigned,Critical,10,2025-06-26,2025-07-20,18,C102,Electric,,,,
WO200014,A100089,Transformer,San Francisco,37.79976,-122.50586,Assigned,Critical,10,2025-07-27,2025-08-07,0,C114,Electric,,,,
WO200015,A100147,Substation Equipment,Peninsula,37.46027,-122.32175,In Progress,Critical,10,2025-05-09,2025-06-29,39,C119,Electric,,,,
WO200016,A100080,Switchgear,Peninsula,37.37822,-122.12313,Open,Critical,10,2025-06-25,2025-07-08,30,,Electric,,,,
WO200017,A100297,Pole,Central Valley,37.09339,-121.48063,Deferred,Critical,9,2025-04-25,2025-05-27,72,,Electric,,,,
WO200018,A100186,Pole,East Bay,37.72064,-122.3138,Deferred,Critical,10,2025-05-22,2025-06-12,56,,Electric,,,,
WO200019,A100179,Pole,Peninsula,37.63085,-122.36642,Open,Critical,9,2025-06-08,2025-07-14,24,,Electric,,,,
WO200020,A100168,Substation Equipment,San Francisco,37.80756,-122.44618,Open,Critical,10,2025-07-12,2025-09-06,0,,Electric,,,,
WO200021,A100113,Pole,Peninsula,37.67956,-122.35494,Open,Critical,10,2025-04-17,2025-06-03,65,,Electric,,,,
WO200022,A100241,Transformer,South Bay,37.15035,-122.09266,Closed,High,8,2025-05-07,2025-06-18,0,C105,Electric,,,,
WO200023,A100269,Regulator,North Bay,38.29459,-122.51278,In Progress,High,8,2025-06-13,2025-08-01,6,C114,Electric,,,,
WO200024,A100100,Gas Valve,South Bay,37.11413,-121.92318,Closed,High,8,2025-05-30,2025-06-24,0,C105,Gas,,,,
WO200025,A100014,Pole,San Francisco,37.71653,-122.3961,Assigned,Critical,10,2025-04-20,2025-06-19,49,C108,Electric,,,,
WO200026,A100221,Pole,Central Valley,37.81309,-120.85739,Assigned,Critical,10,2025-06-24,2025-08-15,0,C109,Electric,,,,
WO200027,A100084,Transformer,San Francisco,37.78251,-122.37821,Open,Critical,10,2025-06-04,2025-07-24,14,,Electric,,,,
WO200028,A100084,Transformer,San Francisco,37.72901,-122.49334,Closed,Critical,10,2025-07-28,2025-09-24,0,C109,Electric,,,,
WO200029,A100203,Substation Equipment,North Bay,38.30323,-122.82416,In Progress,Critical,10,2025-06-13,2025-07-05,33,C111,Electric,,,,
WO200030,A100270,Substation Equipment,East Bay,37.58336,-122.1064,Assigned,Critical,10,2025-05-28,2025-07-05,33,C103,Electric,,,,
WO200031,A100158,Switchgear,South Bay,37.24714,-122.12289,Open,Critical,10,2025-05-05,2025-06-04,64,,Electric,,,,
WO200032,A100235,Regulator,San Francisco,37.81607,-122.5105,Open,Critical,10,2025-06-20,2025-07-21,17,,Electric,,,,
WO200033,A100184,Substation Equipment,Peninsula,37.59221,-122.15403,Closed,High,6,2025-04-14,2025-05-27,0,C105,Electric,,,,
WO200034,A100049,Regulator,East Bay,37.92448,-122.09749,Assigned,Critical,10,2025-05-22,2025-07-21,17,C119,Electric,,,,
WO200035,A100170,Switchgear,Central Valley,36.88704,-121.27724,Open,Critical,10,2025-07-27,2025-09-14,0,,Electric,,,,
WO200036,A100162,Transformer,East Bay,37.83197,-122.37843,Assigned,Low,1,2025-07-19,2025-09-05,0,C120,Electric,,,,
WO200037,A100064,Pole,Peninsula,37.3848,-122.24231,Open,Low,1,2025-07-16,2025-08-29,0,,Electric,,,,
WO200038,A100231,Feeder,Peninsula,37.55352,-122.37572,Closed,Critical,9,2025-06-29,2025-07-17,0,C112,Electric,,,,
WO200039,A100230,Substation Equipment,North Bay,38.62266,-122.50264,Open,High,7,2025-04-19,2025-05-05,94,,Electric,,,,
WO200040,A100006,Switchgear,San Francisco,37.76353,-122.43105,In Progress,Critical,10,2025-06-07,2025-08-03,4,C120,Electric,,,,
WO200041,A100038,Substation Equipment,Central Valley,37.99693,-120.71355,Deferred,Critical,10,2025-05-01,2025-06-15,53,,Electric,,,,
WO200042,A100033,Regulator,South Bay,37.35192,-122.07552,Closed,Critical,9,2025-07-17,2025-09-04,0,C118,Electric,,,,
